生成数据,校准数据,频率,幅值,误差数据
1,-12.4901038,1,-8,-0.3594929131013307
2,-12.4870993,2,-8,-0.3593388017663958
3,-12.487046500000002,3,-8,-0.35933609280625334
4,-12.487227599999999,4,-8,-0.35934538423885215
5,-9.81314494,5,-8,-0.18476695810425894
6,-9.81263813,6,-8,-0.1847248523776959
7,-9.81255883,7,-8,-0.18471826374772424
8,-9.78544676,8,-8,-0.1824594015776955
9,-9.78504216,9,-8,-0.18242559723421772
10,-9.78496134,10,-8,-0.1824188443855416
11,-9.78419622,11,-8,-0.1823549098854847
12,-9.78216719,12,-8,-0.18218531286419357
13,-9.7897751,13,-8,-0.18282085969472373
14,-9.78936012,14,-8,-0.18278621871763356
15,-9.78914316,15,-8,-0.18276810653977604
16,-9.78637827,16,-8,-0.1825372186436035
17,-9.78684976,17,-8,-0.18257660062414208
18,-9.78710324,18,-8,-0.18259777139124164
19,-9.78142064,19,-8,-0.1821228945737273
20,-9.78192061,20,-8,-0.18216469761350887
21,-9.78229319,21,-8,-0.18219584665709662
22,-9.77853512,22,-8,-0.18188154955463315
23,-9.77879101,23,-8,-0.18190295796085335
24,-9.77931856,24,-8,-0.18194709059564576
25,-9.77597882,25,-8,-0.18166762149347623
26,-9.77596844,26,-8,-0.18166675259847706
27,-9.77648619,27,-8,-0.181710090463494
28,-9.77196901,28,-8,-0.1813318286403366
29,-9.77207882,29,-8,-0.18134102811094607
30,-9.77265125,30,-8,-0.1813889808049785
31,-9.76794072,31,-8,-0.18099421062006613
32,-9.76752784,32,-8,-0.18095959069209058
33,-9.76935543,33,-8,-0.18111281165660276
34,-9.76697012,34,-8,-0.1809128213038907
35,-9.76629723,35,-8,-0.18085638685809272
36,-9.76503848,36,-8,-0.1807507961811943
37,-9.76534662,37,-8,-0.18077664712735006
38,-9.7653196,38,-8,-0.18077438038996693
39,-9.75888058,39,-8,-0.18023384604220657
40,-9.75917162,40,-8,-0.18025829327510073
41,-9.75914881,41,-8,-0.18025637729772453
42,-9.75364279,42,-8,-0.1797936245725481
43,-9.75363451,43,-8,-0.17979292828761118
44,-9.75386328,44,-8,-0.17981216566734565
45,-9.75557921,45,-8,-0.17995643028559863
46,-9.75568641,46,-8,-0.17996544130409367
47,-9.75591044,47,-8,-0.17998427218034194
48,-9.75857566,48,-8,-0.18020823133116948
49,-9.75856934,49,-8,-0.18020770040457584
50,-9.76404317,50,-8,-0.18066728498497622
51,-9.76409563,51,-8,-0.1806716870510618
52,-9.766421,52,-8,-0.18086676787740355
53,-9.76966714,53,-8,-0.18113893898743405
54,-9.76961989,54,-8,-0.1811349786301665
55,-9.76936399,55,-8,-0.18111352917253729
56,-9.77554357,56,-8,-0.18163118575308032
57,-9.77528306,57,-8,-0.18160937633247418
58,-9.77529944,58,-8,-0.1816107476703547
59,-9.78110443,59,-8,-0.1820964537028258
60,-9.78115378,60,-8,-0.18210058036731944
61,-9.78093508,61,-8,-0.18208229227915504
62,-9.78649822,62,-8,-0.18254723802524744
63,-9.78656373,63,-8,-0.18255270994899037
64,-9.78641788,64,-8,-0.18254052728024323
65,-9.78819231,65,-8,-0.1826887185464381
66,-9.78795933,66,-8,-0.18266926431947073
67,-9.78798336,67,-8,-0.1826712709082497
68,-9.78948609,68,-8,-0.18279673453215975
69,-9.79126194,69,-8,-0.182944951424719
70,-9.79195253,70,-8,-0.1830025752790286
71,-9.79338378,71,-8,-0.18312197502792027
72,-9.79364387,72,-8,-0.18314366887429
73,-9.79287914,73,-8,-0.18307988022407065
74,-9.79261962,74,-8,-0.18305823054117565
75,-9.79247881,75,-8,-0.18304648340617655
76,-9.79363355,76,-8,-0.18314280811538014
77,-9.7933667,77,-8,-0.18312055036190977
78,-9.79335085,78,-8,-0.1831192282874252
79,-9.79184988,79,-8,-0.18299401052500605
80,-9.79177759,80,-8,-0.18298797879456333
81,-9.79153342,81,-8,-0.18296760508835605
82,-9.79295374,82,-8,-0.18308610329451017
83,-9.79279037,83,-8,-0.18307247498038706
84,-9.79273892,84,-8,-0.18306818293078722
85,-9.79096555,85,-8,-0.18292021771029512
86,-9.79285415,86,-8,-0.18307779555769246
87,-9.7904087,87,-8,-0.18287374458637262
88,-9.79463841,88,-8,-0.183226611833647
89,-9.79538126,89,-8,-0.18328855328291727
90,-9.79141719,90,-8,-0.18295790642335
91,-9.79135942,91,-8,-0.1829530857932697
92,-9.79106974,92,-8,-0.18292891252554794
93,-9.78969734,93,-8,-0.18281436880458246
94,-9.78932912,94,-8,-0.18278363083577678
95,-9.78937095,95,-8,-0.18278712280281914
96,-9.77665372,96,-8,-0.18172411245020556
97,-9.77656346,97,-8,-0.18171655789569233
98,-9.77638044,98,-8,-0.18170123911421765
99,-9.75815376,99,-8,-0.18017278711131937
100,-9.75819319,100,-8,-0.18017609979291668
101,-9.75786691,101,-8,-0.1801486868199149
102,-9.743927,102,-8,-0.17897578666178426
103,-9.74294346,103,-8,-0.1788929051221241
104,-9.72896402,104,-8,-0.17771306548628799
105,-9.72583114,105,-8,-0.17744819081857927
106,-9.725775,106,-8,-0.17744344281047017
107,-9.70933517,107,-8,-0.17605069142957594
108,-9.70938517,108,-8,-0.17605493448561987
109,-9.70929466,109,-8,-0.17604725367352272
110,-9.68948323,110,-8,-0.1743625733072248
111,-9.68944159,111,-8,-0.17435902516235713
112,-9.68943279,112,-8,-0.17435827531035486
113,-9.67400251,113,-8,-0.17304135576454377
114,-9.67372478,114,-8,-0.17301761400741447
115,-9.67372072,115,-8,-0.17301726692808642
116,-9.66238658,116,-8,-0.17204720244178015
117,-9.65951184,117,-8,-0.17180079775128682
118,-9.64571418,118,-8,-0.17061610465426422
119,-9.64270259,119,-8,-0.17035707309935819
120,-9.64005525,120,-8,-0.1701292375891725
121,-9.62741847,121,-8,-0.1690399638357052
122,-9.62740477,122,-8,-0.16903878136205133
123,-9.62737213,123,-8,-0.16903596412658867
124,-9.60909277,124,-8,-0.16745522272650512
125,-9.60922396,125,-8,-0.16746658905013176
126,-9.60910405,126,-8,-0.16745620003979447
127,-9.58848288,127,-8,-0.1656657158259431
128,-9.58836169,128,-8,-0.1656551704402798
129,-9.5736746,129,-8,-0.16437519194562977
130,-9.57128348,130,-8,-0.16416643423876523
131,-9.57013725,131,-8,-0.16406632517208675
132,-9.55882864,132,-8,-0.16307737053438798
133,-9.55883477,133,-8,-0.16307790724580132
134,-9.55847807,134,-8,-0.16304667527473854
135,-9.54614183,135,-8,-0.16196510145502416
136,-9.5460702,136,-8,-0.16195881316690933
137,-9.54610219,137,-8,-0.16196162153173005
138,-9.53253873,138,-8,-0.16076921095289382
139,-9.53215334,139,-8,-0.16073528040831964
140,-9.53232738,140,-8,-0.16075060359498478
141,-9.52586885,141,-8,-0.16018159330421605
142,-9.52558207,142,-8,-0.16015630948209345
143,-9.51292523,143,-8,-0.1590389068999337
144,-9.51269453,144,-8,-0.1590185120766197
145,-9.5101296,145,-8,-0.15879169512053765
146,-9.50175075,146,-8,-0.15804989938301628
147,-9.50141034,147,-8,-0.1580197345734254
148,-9.50150052,148,-8,-0.158027725919653
149,-9.23317849,149,-8,-0.13355947698136617
150,-9.23634244,150,-8,-0.1338562800189985
151,-9.23846983,151,-8,-0.1340557313916129
152,-9.26210988,152,-8,-0.1362659152560173
153,-9.26197566,153,-8,-0.13625339844609344
154,-9.25637376,154,-8,-0.13573066435899847
155,-9.25572669,155,-8,-0.13567024308925435
156,-9.25543624,156,-8,-0.13564311907571414
157,-9.25429886,157,-8,-0.1355368871240452
158,-9.25323452,158,-8,-0.1354374534970718
159,-9.25189597,159,-8,-0.13531236992497223
160,-9.25394729,160,-8,-0.1355040449987261
161,-9.25450255,161,-8,-0.13555591380759843
162,-9.25518946,162,-8,-0.13562007189856062
163,-9.24547315,163,-8,-0.13471167238206738
164,-9.24555059,164,-8,-0.134718919968616
165,-9.24580832,165,-8,-0.13474303996819179
166,-9.24826536,166,-8,-0.13497291777536102
167,-9.24963883,167,-8,-0.13510136481728988
168,-9.25083972,168,-8,-0.13521364090826557
169,-9.2514315,169,-8,-0.13526895810664552
170,-9.25225783,170,-8,-0.13534618825035485
171,-9.25706567,171,-8,-0.1357952632953504
172,-9.25805324,172,-8,-0.13588744927113863
173,-9.25862416,173,-8,-0.13594073355279174
174,-9.25997685,174,-8,-0.13606695463822885
175,-9.26013587,175,-8,-0.1360817905580039
176,-9.26038231,176,-8,-0.13610478140183832
177,-9.26942946,177,-8,-0.13694796054901956
178,-9.27010774,178,-8,-0.13701110878351025
179,-9.27038273,179,-8,-0.13703670786847866
180,-9.28074737,180,-8,-0.13800045609904368
181,-9.28179578,181,-8,-0.13809782184197114
182,-9.30090667,182,-8,-0.1398688016294222
183,-9.30228354,183,-8,-0.139996113255434
184,-9.3034377,184,-8,-0.1401028030746097
185,-9.31036603,185,-8,-0.1407426975242133
186,-9.3107719,186,-8,-0.14078015379154551
187,-9.31161385,187,-8,-0.14085784388492448
188,-9.32992151,188,-8,-0.14254369756214597
189,-9.33014046,189,-8,-0.14256381945186716
190,-9.33052181,190,-8,-0.1425988639321342
191,-9.32790369,191,-8,-0.14235821189101489
192,-9.32703269,192,-8,-0.14227812146758964
193,-9.31692176,193,-8,-0.14134730267392517
194,-9.31558568,194,-8,-0.14122415113678605
195,-9.31356713,195,-8,-0.14103802674797483
196,-9.30090629,196,-8,-0.13986876648770108
197,-9.30020366,197,-8,-0.13980378360875587
198,-9.29932049,198,-8,-0.13972208952226353
199,-9.29519978,199,-8,-0.13934071463281672
200,-9.29314761,200,-8,-0.13915065855711722
201,-9.29238693,201,-8,-0.13908018894774965
202,-9.28985394,202,-8,-0.13884544884459188
203,-9.28922642,203,-8,-0.13878727481808978
204,-9.28847803,204,-8,-0.13871788530246437
205,-9.27973365,205,-8,-0.13790629109274063
206,-9.27924413,206,-8,-0.13786081194525057
207,-9.28060516,207,-8,-0.13798724737471757
208,-9.28000036,208,-8,-0.13793106792508794
209,-9.27936576,209,-8,-0.13787211250093018
210,-9.28538746,210,-8,-0.13843121415635581
211,-9.28487598,211,-8,-0.1383837525420561
212,-9.28491137,212,-8,-0.13838703664437885
213,-9.28595334,213,-8,-0.1384837176017945
214,-9.28589473,214,-8,-0.13847827994922796
215,-9.28575921,215,-8,-0.13846570656445012
216,-9.29610711,216,-8,-0.1394247177515578
217,-9.296235,217,-8,-0.1394365568426357
218,-9.30604118,218,-8,-0.1403433699398265
219,-9.30709436,219,-8,-0.14044064768673953
220,-9.3084642,220,-8,-0.1405671410327817
221,-9.31370763,221,-8,-0.14105098444023195
222,-9.31379795,222,-8,-0.14105931404706923
223,-9.31373405,223,-8,-0.14105342099606125
224,-9.32009549,224,-8,-0.14163969579672192
225,-9.32077479,225,-8,-0.1417022532737324
226,-9.32172316,226,-8,-0.14178957445031007
227,-9.32555799,227,-8,-0.1421424853527719
228,-9.32637845,228,-8,-0.14221795277887314
229,-9.32708915,229,-8,-0.1422833135458988
230,-9.33846417,230,-8,-0.14332808325161672
231,-9.33865704,231,-8,-0.1433457759789409
232,-9.35122139,232,-8,-0.14449678107770683
233,-9.35153477,233,-8,-0.1445254499117903
234,-9.35159748,234,-8,-0.1445311865582992
235,-9.3557788,235,-8,-0.1449135159116844
236,-9.35674553,236,-8,-0.14500186262947343
237,-9.3580692,237,-8,-0.145122799476627
238,-9.3694841,238,-8,-0.14616430161827154
239,-9.3698418,239,-8,-0.14619689736917432
240,-9.37084378,240,-8,-0.14628819049633113
241,-9.3844679,241,-8,-0.147527586513456
242,-9.38530761,242,-8,-0.14760385781324434
243,-9.38619842,243,-8,-0.14768475563507208
244,-9.66318018,244,-8,-0.17211519903585193
245,-9.66302533,245,-8,-0.17210193218028128
246,-9.66098427,246,-8,-0.17192702353918646
247,-9.66152924,247,-8,-0.17197373197620217
248,-9.66159021,248,-8,-0.17197895728181584
249,-9.66304122,249,-8,-0.17210329358400484
250,-9.66296386,250,-8,-0.17209666558765332
251,-9.6629451,251,-8,-0.17209505826541432
252,-9.66633337,252,-8,-0.17238525780329053
253,-9.66635124,253,-8,-0.17238678779895023
254,-9.66615143,254,-8,-0.17236968012200896
255,-9.66732606,255,-8,-0.17247024147647302
256,-9.66723449,256,-8,-0.17246240294725695
257,-9.6698101,257,-8,-0.17268282238551919
258,-9.67060446,258,-8,-0.17275077963430632
259,-9.6705385,259,-8,-0.17274513720202855
260,-9.67309923,260,-8,-0.17296413385392306
261,-9.67278465,261,-8,-0.17293723684833617
262,-9.67279004,262,-8,-0.17293769771518794
263,-9.67406588,263,-8,-0.1730467727598316
264,-9.67416798,264,-8,-0.173055500324277
265,-9.67407121,265,-8,-0.17304722837573566
266,-9.67805864,266,-8,-0.1733879388852308
267,-9.67775423,267,-8,-0.17336193812394424
268,-9.67782992,268,-8,-0.17336840323393496
269,-9.68001933,269,-8,-0.17355536933623048
270,-9.68126954,270,-8,-0.17366209390757242
271,-9.68356084,271,-8,-0.17385761992073157
272,-9.68439811,272,-8,-0.17392904451756372
273,-9.68443217,273,-8,-0.17393194979649482
274,-9.68421056,274,-8,-0.17391304635160681
275,-9.68424661,275,-8,-0.17391612149372976
276,-9.68425655,276,-8,-0.17391696939296808
277,-9.68741477,277,-8,-0.17418628293129232
278,-9.68742373,278,-8,-0.17418704673507665
279,-9.68739226,279,-8,-0.17418436403854254
280,-9.69100176,280,-8,-0.17449194643423535
281,-9.69076749,281,-8,-0.17447199014368267
282,-9.69249249,282,-8,-0.17461891167273935
283,-9.69414783,283,-8,-0.17475985096464125
284,-9.69411245,284,-8,-0.17475683913693413
285,-9.69629136,285,-8,-0.17494228432508654
286,-9.69629684,286,-8,-0.17494275061818346
287,-9.69609999,287,-8,-0.1749260003247966
288,-9.69986535,288,-8,-0.1752462831868073
289,-9.69981898,289,-8,-0.17524234045035755
290,-9.69976566,290,-8,-0.17523780672449776
291,-9.69892971,291,-8,-0.17516672053498156
292,-9.69886813,292,-8,-0.17516148350807606
293,-9.6988966,293,-8,-0.1751639047270593
294,-9.70086459,294,-8,-0.17533123715110016
295,-9.70261749,295,-8,-0.17548022394521912
296,-9.69513252,296,-8,-0.17484366680941454
297,-9.69624989,297,-8,-0.17493875562648073
298,-9.69384502,298,-8,-0.1747340726518031
299,-9.69432351,299,-8,-0.17477480592145003
300,-9.69420274,300,-8,-0.17476452529813707
301,-9.69398722,301,-8,-0.17474617838417167
302,-9.68547522,302,-8,-0.17402091087070073
303,-9.68527629,303,-8,-0.17400394573565636
304,-9.685254,304,-8,-0.17400204475793823
305,-9.6819916,305,-8,-0.1737237202312797
306,-9.68192726,306,-8,-0.17371822931873587
307,-9.6819494,307,-8,-0.17372011880169508
308,-9.67657585,308,-8,-0.17326127299462038
309,-9.67797359,309,-8,-0.1733806746211632
310,-9.67068454,310,-8,-0.17275762983372012
311,-9.67232962,311,-8,-0.17289832808654834
312,-9.67006953,312,-8,-0.17270501776836752
313,-9.66541899,313,-8,-0.17230696276313204
314,-9.66532551,314,-8,-0.1722989575754082
315,-9.66536914,315,-8,-0.17230269386276117
316,-9.65953604,316,-8,-0.1718028726356924
317,-9.6596203,317,-8,-0.1718100969248243
318,-9.65956091,318,-8,-0.17180500495441256
319,-9.65412427,319,-8,-0.17133861381297513
320,-9.65399646,320,-8,-0.1713276431012903
321,-9.65284366,321,-8,-0.1712286781199148
322,-9.65114628,322,-8,-0.17108291928199856
323,-9.6507905,323,-8,-0.17105236094390397
324,-9.64856911,324,-8,-0.17086151233465127
325,-9.64850431,325,-8,-0.17085594378513574
326,-9.6485586,326,-8,-0.17086060916912496
327,-9.64038062,327,-8,-0.17015724634324658
328,-9.64032127,328,-8,-0.1701521374712442
329,-9.64039213,329,-8,-0.17015823712141886
330,-9.6373747,330,-8,-0.16989841642247244
331,-9.63750777,331,-8,-0.16990987805968838
332,-9.63737466,332,-8,-0.16989841297712927
333,-9.63298661,333,-8,-0.16952028234989935
334,-9.63446925,334,-8,-0.16964808414329624
335,-9.62823453,335,-8,-0.16911039349183782
